Video Name	Timeline	Head Position. x	Head Position. y	Head Position. z	Head Rotation. x	Head Rotation. y	Head Rotation. z	Controller Right Position. x	Controller Right Position. y	Controller Right Position. z	Controller Right Rotation. x	Controller Right Rotation. y	Controller Right Rotation. z	Controller Left Position. x	Controller Left Position. y	Controller Left Position. z	Controller Left Rotation. x	Controller Left Rotation. y	Controller Left Rotation. z	Eye. x	Eye. y	Eye. z	Eye Left Blinking	Eye Right Blinking	Combine Eye Gaze Point. x	Combine Eye Gaze Point. y	Combine Eye Gaze Point. z	Combine Eye Gaze Vector. x	Combine Eye Gaze Vector. y	Combine Eye Gaze Vector. z	Left Eye Pose Status	Right Eye Pose Status	Left Eye Position Guide. x	Left Eye Position Guide. y	Left Eye Position Guide. z	Right Eye Position Guide. x	Right Eye Position Guide. y	Right Eye Position Guide. z	Foveated Gaze Direction. x	Foveated Gaze Direction. y	Foveated Gaze Direction. z	Foveated Gaze Tracking State
Boxe_EPreN4_360_Testing_N1_S8_D	0.02	0.2134	1.5815	-0.0153	11.668	11.2292	354.4507	0.1259	1.3353	-0.025	320.9209	340.6978	7.3652	0.1134	0.7704	-0.0068	66.1915	74.7022	333.3694	-0.2394	0.1242	2.0061	True	True	-0.0309	-0.0089	0.0217	-0.1277	0.0849	0.9882	52	52	0.4871	0.7569	0	0.4871	0.7569	0	-0.1431	0.0807	-0.9864	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.04	0.2114	1.5817	-0.0066	11.5565	11.3406	354.4311	0.1239	1.3351	-0.0168	321.0163	340.8326	7.1933	0.1137	0.7691	-0.001	66.0011	75.4525	333.6482	-0.2556	0.1116	2.0053	True	True	-0.0309	-0.009	0.0217	-0.1216	0.0519	0.9912	52	52	0.4871	0.7625	0	0.4871	0.7625	0	-0.1369	0.0476	-0.9894	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.06	0.207	1.5817	0.0127	11.2514	11.6369	354.3305	0.1196	1.333	0	321.2166	341.0161	6.7434	0.1143	0.7676	0.0102	65.0937	79.3908	335.4501	-0.2633	0.115	2.0043	True	True	-0.0309	-0.0089	0.0217	-0.1206	0.0641	0.9906	52	52	0.4868	0.7593	0	0.4868	0.7593	0	-0.136	0.0598	-0.9889	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.08	0.2029	1.5812	0.0291	11.0855	11.8353	354.3111	0.1146	1.3295	0.0179	321.5891	340.8588	6.4236	0.1136	0.7664	0.0215	64.7909	81.9186	336.6565	-0.2797	0.0965	2.0034	True	True	-0.03	-0.009	0.0217	-0.1338	0.0396	0.9902	52	52	0.4841	0.7634	0	0.4841	0.7634	0	-0.1487	0.0353	-0.9882	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.09999999	0.2029	1.5812	0.0291	11.0855	11.8353	354.3111	0.1146	1.3295	0.0179	321.5891	340.8588	6.4236	0.1136	0.7664	0.0215	64.7909	81.9186	336.6565	-0.2882	0.0857	2.0029	True	True	-0.03	-0.009	0.0217	-0.1338	0.0396	0.9902	52	52	0.4841	0.7634	0	0.4841	0.7634	0	-0.1487	0.0353	-0.9882	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.12	0.199	1.5815	0.045	11.0124	11.8615	354.441	0.109	1.3255	0.0355	322.3757	340.3137	6.6669	0.1117	0.7656	0.034	64.8513	81.8265	336.619	-0.2738	0.0665	2.0049	True	True	-0.0275	-0.0089	0.0216	-0.1141	0.0252	0.9932	52	52	0.486	0.7653	0	0.486	0.7653	0	-0.1278	0.0208	-0.9916	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.14	0.1954	1.5823	0.0613	11.0397	11.8525	354.5659	0.1031	1.3225	0.0539	323.7065	339.5655	7.3391	0.1096	0.7622	0.0461	64.7571	82.2264	336.7749	-0.2779	0.0655	2.0035	True	True	-0.0137	-0.0088	0.0211	-0.1346	0.0364	0.9902	52	52	0.4836	0.7623	0	0.4836	0.7623	0	-0.1416	0.0322	-0.9894	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.16	0.1915	1.5839	0.0806	11.2472	11.9997	354.4838	0.0957	1.322	0.0815	325.0026	339.6589	7.2189	0.1053	0.7594	0.0654	64.8792	81.7742	336.7372	-0.2785	0.0625	2.0036	True	True	-0.023	-0.0088	0.0213	-0.128	0.0336	0.9912	52	52	0.4858	0.7617	0	0.4858	0.7617	0	-0.1396	0.0293	-0.9898	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.18	0.1862	1.5864	0.1063	11.4507	12.3423	354.4555	0.0927	1.3316	0.1086	325.4684	341.6202	5.0389	0.0988	0.7692	0.0817	64.8515	89.1459	341.7261	-0.258	0.0613	2.0065	True	True	-0.0306	-0.0088	0.0216	-0.0995	0.0342	0.9944	52	52	0.4913	0.7597	0	0.4913	0.7597	0	-0.1147	0.0299	-0.9929	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.2	0.1862	1.5864	0.1063	11.4507	12.3423	354.4555	0.0927	1.3316	0.1086	325.4684	341.6202	5.0389	0.0988	0.7692	0.0817	64.8515	89.1459	341.7261	-0.2462	0.0606	2.0082	True	True	-0.0306	-0.0088	0.0216	-0.0995	0.0342	0.9944	52	52	0.4913	0.7597	0	0.4913	0.7597	0	-0.1147	0.0299	-0.9929	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.22	0.1827	1.5888	0.1268	11.6853	12.7171	354.5095	0.0915	1.3369	0.126	325.3665	342.7917	4.3412	0.0956	0.7754	0.0926	63.7957	94.7124	344.8504	-0.3131	0.0802	1.9996	True	True	-0.0304	-0.0089	0.0217	-0.1741	0.0572	0.9831	52	52	0.4824	0.7581	0	0.4824	0.7581	0	-0.189	0.053	-0.9805	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.24	0.18	1.5911	0.1447	11.669	13.2261	354.5785	0.0897	1.3387	0.1425	325.8536	343.587	4.0823	0.0932	0.7798	0.1048	63.4303	95.303	345.3322	-0.3242	0.0814	1.9981	True	True	-0.0302	-0.0088	0.0217	-0.1531	0.046	0.9871	52	52	0.4854	0.7593	0	0.4854	0.7593	0	-0.168	0.0417	-0.9849	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.26	0.18	1.5911	0.1447	11.669	13.2261	354.5785	0.0897	1.3387	0.1425	325.8536	343.587	4.0823	0.0932	0.7798	0.1048	63.4303	95.303	345.3322	-0.33	0.0821	1.9972	True	True	-0.0302	-0.0088	0.0217	-0.1531	0.046	0.9871	52	52	0.4854	0.7593	0	0.4854	0.7593	0	-0.168	0.0417	-0.9849	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.28	0.1779	1.5918	0.1574	11.6433	13.6064	354.6068	0.089	1.3387	0.1498	326.1875	343.8352	3.9794	0.0924	0.7857	0.1113	63.4711	94.0883	345.0866	-0.3019	0.067	2.0013	True	True	-0.0304	-0.0089	0.0216	-0.1167	0.0278	0.9928	52	52	0.4903	0.7634	0	0.4903	0.7634	0	-0.1318	0.0235	-0.991	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.3	0.1762	1.5922	0.1697	11.8306	13.9832	354.575	0.0867	1.3398	0.1647	326.6122	344.4831	3.7728	0.0903	0.7908	0.1236	63.0208	95.5533	346.8214	-0.2958	0.0657	2.0023	True	True	-0.0306	-0.009	0.0217	-0.1287	0.0365	0.991	52	52	0.4888	0.7634	0	0.4888	0.7634	0	-0.1438	0.0321	-0.9891	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.32	0.1751	1.5932	0.1798	12.1518	14.4035	354.563	0.0857	1.3401	0.1715	326.8525	344.8254	3.7272	0.0893	0.7917	0.1287	62.9083	96.378	347.8824	-0.2477	0.0556	2.0075	True	True	-0.0303	-0.0091	0.0217	-0.0795	0.0256	0.9965	52	52	0.5056	0.7693	0	0.5056	0.7693	0	-0.0946	0.0212	-0.9953	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.34	0.174	1.5938	0.1887	12.3453	14.8909	354.5955	0.0847	1.3393	0.1754	327.0712	345.2378	3.7491	0.0879	0.7919	0.1333	62.8166	96.7175	347.9865	-0.1944	0.0192	2.0122	True	True	-0.0302	-0.0091	0.0215	-0.0531	-0.0064	0.9986	52	52	0.5147	0.7734	0	0.5147	0.7734	0	-0.0681	-0.011	-0.9976	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.36	0.1726	1.5939	0.1969	12.4764	15.4984	354.8469	0.0828	1.3384	0.1858	327.4522	346.0358	3.7587	0.085	0.7933	0.1428	62.4663	97.7419	348.2989	-0.1689	0.0137	2.0148	True	True	-0.0303	-0.0091	0.0216	-0.0552	0.0081	0.9984	52	52	0.5137	0.7711	0	0.5137	0.7711	0	-0.0703	0.0036	-0.9975	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.38	0.1712	1.5937	0.2035	12.6048	15.9548	355.1075	0.0822	1.3372	0.1876	327.6829	346.4503	3.7272	0.0835	0.7933	0.1465	62.2991	98.1302	347.7907	-0.1574	-0.0035	2.0163	True	True	-0.0303	-0.0091	0.0216	-0.057	-0.0072	0.9983	52	52	0.5123	0.773	0	0.5123	0.773	0	-0.0721	-0.0117	-0.9973	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.4	0.1699	1.5938	0.2094	12.7512	16.3111	355.3027	0.0813	1.3363	0.1901	327.8631	346.7238	3.6406	0.0823	0.7938	0.1488	62.2373	98.1463	347.3796	-0.1702	0.0008	2.016	True	True	-0.0302	-0.0091	0.0218	-0.0782	0.0077	0.9969	52	52	0.5068	0.7698	0	0.5068	0.7698	0	-0.0933	0.0032	-0.9956	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.42	0.1672	1.5934	0.219	13.137	16.9758	355.352	0.0776	1.3332	0.1963	328.597	347.3288	3.7817	0.0796	0.798	0.158	61.7687	98.915	347.9579	-0.1775	-0.0065	2.0158	True	True	-0.0302	-0.0091	0.0217	-0.0784	-0.0032	0.9969	52	52	0.5041	0.7709	0	0.5041	0.7709	0	-0.0935	-0.0076	-0.9956	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.4400001	0.1657	1.5934	0.2226	13.3178	17.1723	355.4153	0.0757	1.3324	0.1975	328.8539	347.3647	4.0393	0.0792	0.8	0.1593	61.5531	99.0332	348.2064	-0.1994	0.006	2.014	True	True	-0.0294	-0.009	0.0217	-0.1003	0.0159	0.9948	52	52	0.5006	0.768	0	0.5006	0.768	0	-0.1149	0.0114	-0.9933	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.4600001	0.1642	1.5928	0.2253	13.4477	17.2955	355.501	0.0734	1.3323	0.1969	329.0259	347.3288	4.3338	0.0787	0.8009	0.1606	61.3922	99.0339	348.2227	-0.205	0.0089	2.0136	True	True	-0.0293	-0.009	0.0217	-0.0917	0.0109	0.9957	52	52	0.4998	0.7666	0	0.4998	0.7666	0	-0.1063	0.0065	-0.9943	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.4800001	0.1627	1.5925	0.2274	13.594	17.362	355.6395	0.0713	1.3322	0.197	329.1535	347.3626	4.5158	0.0785	0.8024	0.1608	61.1201	98.8352	347.8849	-0.2045	0.0206	2.0136	True	True	-0.0296	-0.009	0.0217	-0.0871	0.0231	0.9959	52	52	0.5	0.7649	0	0.5	0.7649	0	-0.1019	0.0187	-0.9946	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.5000001	0.1602	1.5923	0.228	13.8393	17.4916	355.838	0.0684	1.3346	0.1966	329.3386	347.3484	4.6832	0.0773	0.8069	0.1633	60.3538	98.5455	347.2341	-0.2087	0.0198	2.0133	True	True	-0.0301	-0.009	0.0217	-0.0923	0.0138	0.9956	52	52	0.4991	0.7655	0	0.4991	0.7655	0	-0.1073	0.0094	-0.9942	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.52	0.1582	1.592	0.228	13.9812	17.5138	355.8989	0.0668	1.3349	0.195	329.3797	347.2417	4.7323	0.077	0.8097	0.1632	59.7683	98.243	346.6992	-0.2152	0.0174	2.0128	True	True	-0.0297	-0.009	0.0217	-0.0974	0.0116	0.9952	52	52	0.4982	0.7659	0	0.4982	0.7659	0	-0.1122	0.0072	-0.9937	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.54	0.1566	1.5914	0.2274	14.0201	17.5637	355.9129	0.066	1.3358	0.1918	329.4239	347.106	4.8509	0.0768	0.8124	0.162	59.3531	97.954	346.2822	-0.2197	0.017	2.0123	True	True	-0.0279	-0.009	0.0216	-0.099	0.0126	0.995	52	52	0.4981	0.7657	0	0.4981	0.7657	0	-0.113	0.0082	-0.9936	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.56	0.1537	1.5907	0.2235	14.0523	17.727	356.1583	0.0634	1.3353	0.188	329.4969	346.8917	5.2006	0.0761	0.8186	0.161	58.6131	97.3364	345.5806	-0.2223	0.017	2.0121	True	True	-0.0287	-0.009	0.0216	-0.0986	0.013	0.995	52	52	0.4982	0.7654	0	0.4982	0.7654	0	-0.113	0.0086	-0.9936	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.58	0.1516	1.5902	0.2202	14.0068	17.8386	356.4452	0.0626	1.3347	0.1837	329.5243	346.8723	5.5532	0.076	0.8223	0.1594	57.9928	97.0699	345.381	-0.2275	0.0178	2.0116	True	True	-0.0298	-0.009	0.0217	-0.1025	0.0139	0.9946	52	52	0.4982	0.7651	0	0.4982	0.7651	0	-0.1173	0.0095	-0.993	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.6	0.1493	1.59	0.2143	13.9985	17.9611	356.766	0.0606	1.3342	0.177	329.4687	346.7445	6.3222	0.0755	0.8289	0.1547	56.6809	96.556	344.7217	-0.2317	0.0189	2.0112	True	True	-0.0301	-0.009	0.0217	-0.1037	0.0147	0.9945	52	52	0.4981	0.765	0	0.4981	0.765	0	-0.1186	0.0103	-0.9929	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.6199999	0.1473	1.5901	0.2077	13.9135	18.1138	356.9255	0.0601	1.334	0.1703	329.1455	346.5353	7.0665	0.075	0.8326	0.1514	55.8321	96.1676	343.7707	-0.2352	0.0198	2.0109	True	True	-0.0302	-0.009	0.0217	-0.1049	0.015	0.9944	52	52	0.4979	0.7649	0	0.4979	0.7649	0	-0.1199	0.0106	-0.9927	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.6399999	0.1455	1.5897	0.2013	13.6789	18.3021	356.8649	0.0596	1.3345	0.1644	328.8437	346.4002	7.6116	0.0735	0.8369	0.1466	55.108	95.6059	342.0694	-0.2331	0.0251	2.011	True	True	-0.0302	-0.0089	0.0216	-0.1001	0.0207	0.9948	52	52	0.4999	0.761	0	0.4999	0.761	0	-0.1151	0.0164	-0.9932	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.6599999	0.1434	1.5895	0.1911	13.2954	18.5647	356.8648	0.058	1.3346	0.1525	328.2975	346.3304	8.3058	0.0714	0.8449	0.1401	54.2827	94.8033	340.083	-0.2508	0.0336	2.009	True	True	-0.0298	-0.0088	0.0217	-0.1215	0.0272	0.9922	52	52	0.4972	0.7591	0	0.4972	0.7591	0	-0.1364	0.0228	-0.9904	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.6799999	0.1402	1.5891	0.1719	12.908	18.7792	356.8004	0.056	1.3356	0.1381	327.6411	346.3046	8.9451	0.0682	0.8577	0.1287	53.7801	93.2891	338.3198	-0.2588	0.0389	2.008	True	True	-0.0298	-0.0089	0.0217	-0.1197	0.0276	0.9924	52	52	0.4962	0.7609	0	0.4962	0.7609	0	-0.1345	0.0232	-0.9906	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.6999999	0.1389	1.5893	0.162	13.0193	18.8258	356.6787	0.0542	1.3355	0.1281	327.2206	346.0842	9.3725	0.0664	0.8631	0.1218	53.178	92.7931	337.7789	-0.2606	0.0389	2.0078	True	True	-0.0302	-0.0089	0.0217	-0.1163	0.024	0.9929	52	52	0.4963	0.7623	0	0.4963	0.7623	0	-0.1313	0.0196	-0.9911	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.7199998	0.1374	1.5902	0.1467	13.1316	18.8981	356.4895	0.0515	1.3373	0.1125	326.5869	345.6775	9.9952	0.0629	0.8758	0.1076	52.5315	92.0775	337.028	-0.2561	0.0296	2.0085	True	True	-0.0305	-0.009	0.0217	-0.1098	0.0129	0.9939	52	52	0.497	0.7642	0	0.497	0.7642	0	-0.125	0.0086	-0.9921	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.7399998	0.1366	1.5919	0.1341	13.1716	18.916	356.3724	0.0501	1.3404	0.1017	326.2369	345.3414	10.3157	0.0605	0.8831	0.0989	52.2485	91.9348	336.7643	-0.2649	0.0236	2.0076	True	True	-0.0305	-0.009	0.0217	-0.1227	0.0122	0.9924	52	52	0.4951	0.7643	0	0.4951	0.7643	0	-0.1379	0.0078	-0.9904	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.7599998	0.1359	1.593	0.122	13.1022	18.9172	356.2736	0.0486	1.3433	0.0912	326.1968	344.9064	10.7499	0.0579	0.8903	0.0897	51.9336	91.8713	336.6934	-0.2665	0.0281	2.0073	True	True	-0.0292	-0.0088	0.0216	-0.1197	0.0217	0.9926	52	52	0.4952	0.7587	0	0.4952	0.7587	0	-0.1342	0.0174	-0.9908	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.7799998	0.1355	1.5949	0.1048	13.1188	18.9319	356.1115	0.0459	1.3481	0.0716	325.527	344.2186	11.7728	0.0527	0.9014	0.0708	51.2584	91.3969	336.6048	-0.2719	0.0215	2.0065	True	True	-0.0262	-0.0088	0.0215	-0.1263	0.0106	0.9919	52	52	0.4944	0.7611	0	0.4944	0.7611	0	-0.1394	0.0063	-0.9902	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.7999998	0.1354	1.5966	0.0906	13.2155	18.8779	355.9519	0.0448	1.35	0.0583	325.6109	343.7702	11.9948	0.0499	0.9062	0.0603	50.8727	90.5231	336.1453	-0.2762	0.0262	2.0054	True	True	-0.0205	-0.0088	0.0214	-0.1305	0.0208	0.9912	52	52	0.4936	0.7606	0	0.4936	0.7606	0	-0.1408	0.0166	-0.9899	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.8199998	0.1355	1.5972	0.0769	13.4153	18.8239	355.7366	0.044	1.3528	0.0465	325.6025	343.4471	11.9277	0.0469	0.9105	0.0491	50.7	89.1631	335.9428	-0.2631	0.0238	2.0065	True	True	-0.0169	-0.0088	0.0212	-0.1138	0.0147	0.9934	52	52	0.4965	0.7635	0	0.4965	0.7635	0	-0.1223	0.0104	-0.9924	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.8399997	0.1358	1.5986	0.0589	13.7516	18.6398	355.6657	0.0431	1.3579	0.0228	325.2596	342.8101	11.4618	0.0413	0.9194	0.0291	50.6313	87.1924	335.9631	-0.2626	0.0213	2.0064	True	True	-0.0191	-0.0089	0.0212	-0.1215	0.0134	0.9925	52	52	0.4952	0.7648	0	0.4952	0.7648	0	-0.1311	0.009	-0.9913	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.8599997	0.1364	1.5995	0.0435	13.9011	18.3737	355.6473	0.0434	1.3603	0.0113	325.0253	342.5787	10.6078	0.0382	0.9222	0.0173	51.0613	85.8423	335.7625	-0.2529	0.0194	2.0075	True	True	-0.0208	-0.0089	0.0213	-0.1092	0.0128	0.9939	52	52	0.4957	0.7654	0	0.4957	0.7654	0	-0.1197	0.0084	-0.9928	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.8799997	0.1374	1.5997	0.0303	13.8541	18.3029	355.467	0.0448	1.3608	-0.0024	324.8239	342.784	9.6158	0.0352	0.926	0.0055	51.3271	85.3805	335.3164	-0.27	0.0198	2.006	True	True	-0.0276	-0.009	0.0216	-0.132	0.0147	0.9911	52	52	0.4916	0.7647	0	0.4916	0.7647	0	-0.1457	0.0103	-0.9893	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.8999997	0.1396	1.5993	0.0003	13.6222	18.1978	355.1306	0.0479	1.3593	-0.0369	324.3746	343.0148	9.103	0.0286	0.9352	-0.0257	51.0691	84.3402	334.4703	-0.2691	0.0106	2.0066	True	True	-0.0304	-0.009	0.0216	-0.1187	0.0037	0.9929	52	52	0.4946	0.7658	0	0.4946	0.7658	0	-0.1339	-0.0007	-0.991	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.9199997	0.1406	1.5984	-0.0124	13.6072	17.903	354.9137	0.0487	1.3572	-0.0469	324.2307	342.9377	8.8081	0.0284	0.9367	-0.0353	49.9629	83.3974	333.7767	-0.2683	0.0145	2.0069	True	True	-0.0305	-0.009	0.0217	-0.1183	0.0145	0.9929	52	52	0.4919	0.7651	0	0.4919	0.7651	0	-0.1334	0.0101	-0.991	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.9399996	0.1427	1.5963	-0.0266	13.7173	17.5616	354.5045	0.0489	1.3536	-0.0643	324.2406	342.6848	8.2035	0.0263	0.941	-0.0543	48.6828	81.408	333.7955	-0.2711	0.0193	2.0067	True	True	-0.0301	-0.009	0.0217	-0.1224	0.0175	0.9923	52	52	0.4916	0.7656	0	0.4916	0.7656	0	-0.1374	0.0131	-0.9904	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.9599996	0.1447	1.5948	-0.0389	13.8244	17.4651	354.0929	0.0486	1.3512	-0.0721	324.394	342.628	8.0889	0.0261	0.9403	-0.0627	49.2529	80.3126	336.0782	-0.2539	0.0223	2.0085	True	True	-0.0292	-0.009	0.0216	-0.1007	0.0178	0.9948	52	52	0.4955	0.7646	0	0.4955	0.7646	0	-0.1153	0.0134	-0.9932	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.9799996	0.1458	1.5931	-0.0495	13.7918	17.5867	353.5724	0.0481	1.3489	-0.0788	324.4143	342.8384	8.1973	0.025	0.9403	-0.0706	49.9227	79.8862	336.9914	-0.2549	0.0236	2.0083	True	True	-0.0273	-0.009	0.0215	-0.1146	0.0173	0.9933	52	52	0.4946	0.7641	0	0.4946	0.7641	0	-0.1282	0.0129	-0.9917	0
Boxe_EPreN4_360_Testing_N1_S8_D	0.9999996	0.1478	1.5909	-0.0619	13.8865	17.7398	352.8742	0.0475	1.3459	-0.095	324.382	343.255	7.9368	0.0227	0.9412	-0.0872	50.4405	80.5701	336.9948	-0.2565	0.0291	2.0077	True	True	-0.0233	-0.009	0.0213	-0.1177	0.0228	0.9928	52	52	0.4947	0.7634	0	0.4947	0.7634	0	-0.1294	0.0185	-0.9914	0
Boxe_EPreN4_360_Testing_N1_S8_D	1.02	0.1487	1.5889	-0.0717	13.9542	17.8633	352.5006	0.0468	1.3454	-0.101	324.2063	343.5529	7.7075	0.0217	0.9412	-0.0949	50.1165	81.4383	335.9628	-0.2526	0.0393	2.0074	True	True	-0.0175	-0.0089	0.0211	-0.1148	0.0309	0.9929	52	52	0.495	0.7635	0	0.495	0.7635	0	-0.1236	0.0265	-0.992	0
